Topic_Num,Topic,New_long,New_short
1,Israel,Israel,Israel
2,Place,Architecture,Architecture
3,World,World News,World News
4,Food,Food,Food
5,Joe Biden,Joe Biden,Joe Biden
6,Election,Elections,Elections
7,Feelings,Emotions and Feelings,Feelings
8,Music/movies,Music/Movies,Music/Movies
9,Science,Science,Science
10,Law,Supreme Court and Judicial System,Judicial System
11,Black Lives Matter,Black Lives Matter,Black Lives Matter
12,Books,Books,Books
13,Real Estate,Real Estate,Real Estate
14,New York City,New York City,New York City
15,Health,Public Health and Medicine,Public Health
16,Pandemic,Coronavirus Pandemic,Coronavirus
17,Animals,Pets and Animals,Pets and Animals
18,Sport,Sports,Sports
19,Russia,Russia,Russia
20,Women,"Women's Issues, Sexual Harassment",Women's Issues
21,Judaism,Judaism,Judaism
22,Politics,Politics,Politics
23,Nature,Nature,Nature
24,Climate,"Power, Energy Supply, and Climate",Power and Climate
25,"China, India, International Travel","China, India, International Travel","China, India"
26,School,"Education, School System",Education
27,Military,American Military,American Military
28,Business,Business,Business
29,Family,Family,Family
30,Church,Christianity and Church,Church
31,Investigation,Political Investigations,Political Investigations
32,Covid Protection,Covid Protection,Covid Protection
33,Donald Trump,Donald Trump,Donald Trump
34,Race Farms,Horse Racing and Farms,Horse Racing
35,Research,"Health Research, Lifestyle Advice",Health Research
36,Vaccine,Covid Vaccine,Covid Vaccine
37,Money,"Money, Personal Finance",Money
38,Racism,Racial Identity and History,Racial Identity
39,"Art, Planes","Art, Planes","Art, Planes"
40,Social Media,Social Media,Social Media
