Unnamed: 0,StartDate,EndDate,Progress,Duration (in seconds),RecordedDate,ResponseId,polarization_1,polarization_2,polarization_3,polarization_4,polarization_5,polarization_6,polarization_7,polarization_8,polarization_9,polarization_10,polarization_11,polarization_12,polarization_13,polarization_14,polarization_15,polarization_16,polarization_17,polarization_18,polarization_19,polarization_20,polarization_21,polarization_22,polarization_23,polarization_24,polarization_25,polarization_26,polarization_27,polarization_28,polarization_29,polarization_30,polarization_31,polarization_32,polarization_33,polarization_34,polarization_35,polarization_36,polarization_37,polarization_38,polarization_39,polarization_40,polarization_DO,Personal_1,Personal_2,Personal_3,Personal_4_1,Personal_4_2,Personal_4_3,Personal_4_4,Personal_4_5,Personal_4_6,Personal_4_7,Personal_4_8,Personal_4_9,Personal_4_10,Personal_4_11,Personal_4_12,Personal_4_13,Personal_4_14,Personal_4_15,Personal_4_16,Personal_4_17,Personal_4_18,Personal_4_19,Personal_4_20,Personal_4_21,Personal_4_22,Personal_4_23,Personal_4_24,Personal_4_25,Personal_4_26,Personal_4_27,Personal_4_28,Personal_4_29,Personal_4_30,Personal_4_31,Personal_4_32,Personal_4_33,Personal_4_34,Personal_4_35,Personal_4_36,Personal_4_37,Personal_4_38,Personal_4_39,Personal_4_40,Personal_4_DO,Personal_5,Personal_6,Personal_7,Personal_8
0,Start Date,End Date,Progress,Duration (in seconds),Recorded Date,Response ID,"Please read the following definition of Political Polarization: A news topic is considered politically polarized if Democrats and Republicans hold strongly opposing views on the topic.


Now, rate how politically polarized the news coverage on the following topics is: - Israel","Please read the following definition of Political Polarization: A news topic is considered politically polarized if Democrats and Republicans hold strongly opposing views on the topic.


Now, rate how politically polarized the news coverage on the following topics is: - Architecture","Please read the following definition of Political Polarization: A news topic is considered politically polarized if Democrats and Republicans hold strongly opposing views on the topic.


Now, rate how politically polarized the news coverage on the following topics is: - World News","Please read the following definition of Political Polarization: A news topic is considered politically polarized if Democrats and Republicans hold strongly opposing views on the topic.


Now, rate how politically polarized the news coverage on the following topics is: - Food","Please read the following definition of Political Polarization: A news topic is considered politically polarized if Democrats and Republicans hold strongly opposing views on the topic.


Now, rate how politically polarized the news coverage on the following topics is: - Joe Biden","Please read the following definition of Political Polarization: A news topic is considered politically polarized if Democrats and Republicans hold strongly opposing views on the topic.


Now, rate how politically polarized the news coverage on the following topics is: - Elections","Please read the following definition of Political Polarization: A news topic is considered politically polarized if Democrats and Republicans hold strongly opposing views on the topic.


Now, rate how politically polarized the news coverage on the following topics is: - Emotions and Feelings","Please read the following definition of Political Polarization: A news topic is considered politically polarized if Democrats and Republicans hold strongly opposing views on the topic.


Now, rate how politically polarized the news coverage on the following topics is: - Music/Movies","Please read the following definition of Political Polarization: A news topic is considered politically polarized if Democrats and Republicans hold strongly opposing views on the topic.


Now, rate how politically polarized the news coverage on the following topics is: - Science","Please read the following definition of Political Polarization: A news topic is considered politically polarized if Democrats and Republicans hold strongly opposing views on the topic.


Now, rate how politically polarized the news coverage on the following topics is: - Supreme Court and Judicial System","Please read the following definition of Political Polarization: A news topic is considered politically polarized if Democrats and Republicans hold strongly opposing views on the topic.


Now, rate how politically polarized the news coverage on the following topics is: - Black Lives Matter","Please read the following definition of Political Polarization: A news topic is considered politically polarized if Democrats and Republicans hold strongly opposing views on the topic.


Now, rate how politically polarized the news coverage on the following topics is: - Books","Please read the following definition of Political Polarization: A news topic is considered politically polarized if Democrats and Republicans hold strongly opposing views on the topic.


Now, rate how politically polarized the news coverage on the following topics is: - Real Estate","Please read the following definition of Political Polarization: A news topic is considered politically polarized if Democrats and Republicans hold strongly opposing views on the topic.


Now, rate how politically polarized the news coverage on the following topics is: - New York City","Please read the following definition of Political Polarization: A news topic is considered politically polarized if Democrats and Republicans hold strongly opposing views on the topic.


Now, rate how politically polarized the news coverage on the following topics is: - Public Health and Medicine","Please read the following definition of Political Polarization: A news topic is considered politically polarized if Democrats and Republicans hold strongly opposing views on the topic.


Now, rate how politically polarized the news coverage on the following topics is: - Coronavirus Pandemic","Please read the following definition of Political Polarization: A news topic is considered politically polarized if Democrats and Republicans hold strongly opposing views on the topic.


Now, rate how politically polarized the news coverage on the following topics is: - Pets and Animals","Please read the following definition of Political Polarization: A news topic is considered politically polarized if Democrats and Republicans hold strongly opposing views on the topic.


Now, rate how politically polarized the news coverage on the following topics is: - Sports","Please read the following definition of Political Polarization: A news topic is considered politically polarized if Democrats and Republicans hold strongly opposing views on the topic.


Now, rate how politically polarized the news coverage on the following topics is: - Russia (e.g., influence on US election, Ukraine)","Please read the following definition of Political Polarization: A news topic is considered politically polarized if Democrats and Republicans hold strongly opposing views on the topic.


Now, rate how politically polarized the news coverage on the following topics is: - Women's Issues and Sexual Harassment","Please read the following definition of Political Polarization: A news topic is considered politically polarized if Democrats and Republicans hold strongly opposing views on the topic.


Now, rate how politically polarized the news coverage on the following topics is: - Judaism","Please read the following definition of Political Polarization: A news topic is considered politically polarized if Democrats and Republicans hold strongly opposing views on the topic.


Now, rate how politically polarized the news coverage on the following topics is: - Politics","Please read the following definition of Political Polarization: A news topic is considered politically polarized if Democrats and Republicans hold strongly opposing views on the topic.


Now, rate how politically polarized the news coverage on the following topics is: - Nature","Please read the following definition of Political Polarization: A news topic is considered politically polarized if Democrats and Republicans hold strongly opposing views on the topic.


Now, rate how politically polarized the news coverage on the following topics is: - Power, Energy Supply, and Climate","Please read the following definition of Political Polarization: A news topic is considered politically polarized if Democrats and Republicans hold strongly opposing views on the topic.


Now, rate how politically polarized the news coverage on the following topics is: - China, India, International Travel","Please read the following definition of Political Polarization: A news topic is considered politically polarized if Democrats and Republicans hold strongly opposing views on the topic.


Now, rate how politically polarized the news coverage on the following topics is: - Education and School System","Please read the following definition of Political Polarization: A news topic is considered politically polarized if Democrats and Republicans hold strongly opposing views on the topic.


Now, rate how politically polarized the news coverage on the following topics is: - American Military Forces, War/Conflict","Please read the following definition of Political Polarization: A news topic is considered politically polarized if Democrats and Republicans hold strongly opposing views on the topic.


Now, rate how politically polarized the news coverage on the following topics is: - Business","Please read the following definition of Political Polarization: A news topic is considered politically polarized if Democrats and Republicans hold strongly opposing views on the topic.


Now, rate how politically polarized the news coverage on the following topics is: - Family (e.g., parents, children, love)","Please read the following definition of Political Polarization: A news topic is considered politically polarized if Democrats and Republicans hold strongly opposing views on the topic.


Now, rate how politically polarized the news coverage on the following topics is: - Christianity and Church","Please read the following definition of Political Polarization: A news topic is considered politically polarized if Democrats and Republicans hold strongly opposing views on the topic.


Now, rate how politically polarized the news coverage on the following topics is: - Political Investigations (e.g., Donald Trump impeachment)","Please read the following definition of Political Polarization: A news topic is considered politically polarized if Democrats and Republicans hold strongly opposing views on the topic.


Now, rate how politically polarized the news coverage on the following topics is: - Covid Protection","Please read the following definition of Political Polarization: A news topic is considered politically polarized if Democrats and Republicans hold strongly opposing views on the topic.


Now, rate how politically polarized the news coverage on the following topics is: - Donald Trump","Please read the following definition of Political Polarization: A news topic is considered politically polarized if Democrats and Republicans hold strongly opposing views on the topic.


Now, rate how politically polarized the news coverage on the following topics is: - Horse Racing and Farms","Please read the following definition of Political Polarization: A news topic is considered politically polarized if Democrats and Republicans hold strongly opposing views on the topic.


Now, rate how politically polarized the news coverage on the following topics is: - Health Research, Lifestyle Advice","Please read the following definition of Political Polarization: A news topic is considered politically polarized if Democrats and Republicans hold strongly opposing views on the topic.


Now, rate how politically polarized the news coverage on the following topics is: - Covid Vaccine","Please read the following definition of Political Polarization: A news topic is considered politically polarized if Democrats and Republicans hold strongly opposing views on the topic.


Now, rate how politically polarized the news coverage on the following topics is: - Money and Personal Finance","Please read the following definition of Political Polarization: A news topic is considered politically polarized if Democrats and Republicans hold strongly opposing views on the topic.


Now, rate how politically polarized the news coverage on the following topics is: - Racial Identity and History","Please read the following definition of Political Polarization: A news topic is considered politically polarized if Democrats and Republicans hold strongly opposing views on the topic.


Now, rate how politically polarized the news coverage on the following topics is: - Art, Planes","Please read the following definition of Political Polarization: A news topic is considered politically polarized if Democrats and Republicans hold strongly opposing views on the topic.


Now, rate how politically polarized the news coverage on the following topics is: - Social Media","Please read the following definition of Political Polarization: A news topic is considered politically polarized if Democrats and Republicans hold strongly opposing views on the topic.


Now, rate how politically polarized the news coverage on the following topics is: - Display Order",1. Age,2. Gender Identity,3. How would you classify your political affiliation?,4. How important is to you that your social circle knows of your opinions on and where you stand on the following topics: - Israel,4. How important is to you that your social circle knows of your opinions on and where you stand on the following topics: - Architecture,4. How important is to you that your social circle knows of your opinions on and where you stand on the following topics: - World News,4. How important is to you that your social circle knows of your opinions on and where you stand on the following topics: - Food,4. How important is to you that your social circle knows of your opinions on and where you stand on the following topics: - Joe Biden,4. How important is to you that your social circle knows of your opinions on and where you stand on the following topics: - Elections,4. How important is to you that your social circle knows of your opinions on and where you stand on the following topics: - Emotions and Feelings,4. How important is to you that your social circle knows of your opinions on and where you stand on the following topics: - Music/Movies,4. How important is to you that your social circle knows of your opinions on and where you stand on the following topics: - Science,4. How important is to you that your social circle knows of your opinions on and where you stand on the following topics: - Supreme Court and Judicial System,4. How important is to you that your social circle knows of your opinions on and where you stand on the following topics: - Black Lives Matter,4. How important is to you that your social circle knows of your opinions on and where you stand on the following topics: - Books,4. How important is to you that your social circle knows of your opinions on and where you stand on the following topics: - Real Estate,4. How important is to you that your social circle knows of your opinions on and where you stand on the following topics: - New York City,4. How important is to you that your social circle knows of your opinions on and where you stand on the following topics: - Public Health and Medicine,4. How important is to you that your social circle knows of your opinions on and where you stand on the following topics: - Coronavirus Pandemic,4. How important is to you that your social circle knows of your opinions on and where you stand on the following topics: - Pets and Animals,4. How important is to you that your social circle knows of your opinions on and where you stand on the following topics: - Sports,"4. How important is to you that your social circle knows of your opinions on and where you stand on the following topics: - Russia (e.g., influence on US election, Ukraine)",4. How important is to you that your social circle knows of your opinions on and where you stand on the following topics: - Women's Issues and Sexual Harassment,4. How important is to you that your social circle knows of your opinions on and where you stand on the following topics: - Judaism,4. How important is to you that your social circle knows of your opinions on and where you stand on the following topics: - Politics,4. How important is to you that your social circle knows of your opinions on and where you stand on the following topics: - Nature,"4. How important is to you that your social circle knows of your opinions on and where you stand on the following topics: - Power, Energy Supply, and Climate","4. How important is to you that your social circle knows of your opinions on and where you stand on the following topics: - China, India, International Travel",4. How important is to you that your social circle knows of your opinions on and where you stand on the following topics: - Education and School System,"4. How important is to you that your social circle knows of your opinions on and where you stand on the following topics: - American Military Forces, War/Conflict",4. How important is to you that your social circle knows of your opinions on and where you stand on the following topics: - Business,"4. How important is to you that your social circle knows of your opinions on and where you stand on the following topics: - Family (e.g., parents, children, love)",4. How important is to you that your social circle knows of your opinions on and where you stand on the following topics: - Christianity and Church,"4. How important is to you that your social circle knows of your opinions on and where you stand on the following topics: - Political Investigations (e.g., Donald Trump impeachment)",4. How important is to you that your social circle knows of your opinions on and where you stand on the following topics: - Covid Protection,4. How important is to you that your social circle knows of your opinions on and where you stand on the following topics: - Donald Trump,4. How important is to you that your social circle knows of your opinions on and where you stand on the following topics: - Horse Racing and Farms,"4. How important is to you that your social circle knows of your opinions on and where you stand on the following topics: - Health Research, Lifestyle Advice",4. How important is to you that your social circle knows of your opinions on and where you stand on the following topics: - Covid Vaccine,4. How important is to you that your social circle knows of your opinions on and where you stand on the following topics: - Money and Personal Finance,4. How important is to you that your social circle knows of your opinions on and where you stand on the following topics: - Racial Identity and History,"4. How important is to you that your social circle knows of your opinions on and where you stand on the following topics: - Art, Planes",4. How important is to you that your social circle knows of your opinions on and where you stand on the following topics: - Social Media,4. How important is to you that your social circle knows of your opinions on and where you stand on the following topics: - Display Order,"5. In the last 12 months, how often have you visited news websites and/or read newspapers?",6. Choose the top three news sources you typically read or follow:,"7. If you read a news article that you find interesting, how likely are you to share it with others?","8. If you do share it, what medium are you likely to use:"
1,"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""QID21_1""}","{""ImportId"":""QID21_2""}","{""ImportId"":""QID21_3""}","{""ImportId"":""QID21_4""}","{""ImportId"":""QID21_5""}","{""ImportId"":""QID21_6""}","{""ImportId"":""QID21_7""}","{""ImportId"":""QID21_8""}","{""ImportId"":""QID21_9""}","{""ImportId"":""QID21_10""}","{""ImportId"":""QID21_11""}","{""ImportId"":""QID21_12""}","{""ImportId"":""QID21_13""}","{""ImportId"":""QID21_14""}","{""ImportId"":""QID21_15""}","{""ImportId"":""QID21_16""}","{""ImportId"":""QID21_17""}","{""ImportId"":""QID21_18""}","{""ImportId"":""QID21_19""}","{""ImportId"":""QID21_20""}","{""ImportId"":""QID21_21""}","{""ImportId"":""QID21_22""}","{""ImportId"":""QID21_23""}","{""ImportId"":""QID21_24""}","{""ImportId"":""QID21_25""}","{""ImportId"":""QID21_26""}","{""ImportId"":""QID21_27""}","{""ImportId"":""QID21_28""}","{""ImportId"":""QID21_29""}","{""ImportId"":""QID21_30""}","{""ImportId"":""QID21_31""}","{""ImportId"":""QID21_32""}","{""ImportId"":""QID21_33""}","{""ImportId"":""QID21_34""}","{""ImportId"":""QID21_35""}","{""ImportId"":""QID21_36""}","{""ImportId"":""QID21_37""}","{""ImportId"":""QID21_38""}","{""ImportId"":""QID21_39""}","{""ImportId"":""QID21_40""}","{""ImportId"":""QID21_DO""}","{""ImportId"":""QID8_TEXT""}","{""ImportId"":""QID9""}","{""ImportId"":""QID10""}","{""ImportId"":""QID11_x1""}","{""ImportId"":""QID11_x2""}","{""ImportId"":""QID11_x3""}","{""ImportId"":""QID11_x4""}","{""ImportId"":""QID11_x5""}","{""ImportId"":""QID11_x6""}","{""ImportId"":""QID11_x7""}","{""ImportId"":""QID11_x8""}","{""ImportId"":""QID11_x9""}","{""ImportId"":""QID11_x10""}","{""ImportId"":""QID11_x11""}","{""ImportId"":""QID11_x12""}","{""ImportId"":""QID11_x13""}","{""ImportId"":""QID11_x14""}","{""ImportId"":""QID11_x15""}","{""ImportId"":""QID11_x16""}","{""ImportId"":""QID11_x17""}","{""ImportId"":""QID11_x18""}","{""ImportId"":""QID11_x19""}","{""ImportId"":""QID11_x20""}","{""ImportId"":""QID11_x21""}","{""ImportId"":""QID11_x22""}","{""ImportId"":""QID11_x23""}","{""ImportId"":""QID11_x24""}","{""ImportId"":""QID11_x25""}","{""ImportId"":""QID11_x26""}","{""ImportId"":""QID11_x27""}","{""ImportId"":""QID11_x28""}","{""ImportId"":""QID11_x29""}","{""ImportId"":""QID11_x30""}","{""ImportId"":""QID11_x31""}","{""ImportId"":""QID11_x32""}","{""ImportId"":""QID11_x33""}","{""ImportId"":""QID11_x34""}","{""ImportId"":""QID11_x35""}","{""ImportId"":""QID11_x36""}","{""ImportId"":""QID11_x37""}","{""ImportId"":""QID11_x38""}","{""ImportId"":""QID11_x39""}","{""ImportId"":""QID11_x40""}","{""ImportId"":""QID11_DO""}","{""ImportId"":""QID12""}","{""ImportId"":""QID13""}","{""ImportId"":""QID14""}","{""ImportId"":""QID15""}"
2,2022-10-10 16:53:34,2022-10-10 16:54:42,100,67,2022-10-10 16:54:42,R_3R9g4XXe4tUskWS,,,5,,,,,3,,5,,,,,3,,,1,,5,,,,,5,,,,,,5,,5,,,,,5,,,3|15|33|18|31|8|25|20|38|10,20,2,3,,,1,,,,,3,,1,,,,,1,,,1,,3,,,,,1,,,,,,1,,1,,,,,3,,,3|15|33|18|31|8|25|20|38|10,4,"4,5,10",1,5
3,2022-10-10 16:54:44,2022-10-10 16:55:41,100,56,2022-10-10 16:55:42,R_3IRizimcJzicde8,,,4,,5,,1,,,5,5,,,,,,,1,,,,,,2,4,,,,,,5,,,1,,,,,,,24|7|10|5|18|11|25|3|31|34,20,2,3,,,1,,1,,5,,,1,1,,,,,,,1,,,,,,4,1,,,,,,1,,,1,,,,,,,24|7|10|5|18|11|25|3|31|34,4,"4,5,10",1,5
4,2022-10-10 16:56:32,2022-10-10 16:58:00,100,87,2022-10-10 16:58:00,R_OwMg835m7uYeT9D,,3,5,,,,,5,,5,,,,,,,5,,,,5,,,,,5,,,5,,,,,,,,,5,4,,38|10|26|29|2|3|21|39|17|8,20,1,3,,3,3,,,,,4,,3,,,,,,,3,,,,3,,,,,3,,,5,,,,,,,,,3,3,,38|10|26|29|2|3|21|39|17|8,1,"1,4,7,8,10",5,5
5,2022-10-10 17:02:50,2022-10-10 17:04:55,100,124,2022-10-10 17:04:55,R_20q1iKT0ki52KQN,,,,,,,4,,,5,,,,,,,2,1,,,,,3,4,,,,5,,5,,,,2,,,,,1,,10|30|23|24|17|34|7|39|18|28,20,2,3,,,,,,,2,,,2,,,,,,,1,3,,,,,1,1,,,,4,,4,,,,1,,,,,1,,10|30|23|24|17|34|7|39|18|28,2,"1,2,4,7,8",4,"4,5"
6,2022-10-10 17:04:04,2022-10-10 17:05:47,100,102,2022-10-10 17:05:47,R_3nO4TGuTK90Ce05,,,5,,,,4,,5,,5,3,,,,,,,5,,,,,5,,,,,,,,5,,,4,,4,,,,37|35|9|24|7|3|12|19|32|11,21,2,2,,,4,,,,4,,4,,5,3,,,,,,,5,,,,,4,,,,,,,,5,,,2,,2,,,,37|35|9|24|7|3|12|19|32|11,4,"1,2,4",4,"4,5"
7,2022-10-10 17:05:02,2022-10-10 17:06:39,100,96,2022-10-10 17:06:39,R_22xXbxLeeEuMYFe,,,,,,5,4,,5,5,,,,3,,,,,,,,,,,,,,4,4,,5,,5,,,,,5,,,31|28|7|38|33|6|29|10|9|14,24,2,3,,,,,,5,5,,5,5,,,,1,,,,,,,,,,,,,,5,5,,5,,5,,,,,5,,,31|28|7|38|33|6|29|10|9|14,2,"3,4,10",1,6
8,2022-10-10 17:07:03,2022-10-10 17:08:43,100,100,2022-10-10 17:08:44,R_bHoqmudln1b3yKt,,,,,5,,,,3,,,2,3,,5,,,3,4,5,,,,,,,,5,,,,,,,3,,,,,,9|35|13|18|5|20|19|15|28|12,21,2,2,,,,,1,,,,1,,,1,1,,2,,,1,1,2,,,,,,,,2,,,,,,,1,,,,,,9|35|13|18|5|20|19|15|28|12,4,"1,2,4,7",4,"4,5"
9,2022-10-10 17:07:10,2022-10-10 17:09:35,100,144,2022-10-10 17:09:35,R_3qgNPWmQwW5b7cw,,1,,,,,,,,,,,3,2,,5,,,,,,5,,,4,3,,,,,5,,,2,4,,,,,,16|14|26|34|31|2|13|22|25|35,21,2,1,,1,,,,,,,,,,,4,1,,3,,,,,,4,,,1,3,,,,,3,,,1,4,,,,,,16|14|26|34|31|2|13|22|25|35,3,"1,10",4,"3,5"
